index,turn,level_a,level_b,level_c,wlevel_0,wlevel_1,wlevel_2,wlevel_3
0,1,10,0,0,1,0,0,0
1,2,9,1,0,1,0,0,0
2,3,9,0,1,1,0,0,0
3,4,8,1,1,1,0,0,0
4,5,8,2,0,1,0,0,0
5,6,8,0,2,1,10,0,0
6,7,7,2,1,1,9,1,0
7,8,7,1,2,1,9,0,1
8,9,7,3,0,1,8,1,1
9,10,7,0,3,1,8,2,0
10,11,6,2,2,1,8,0,2
11,12,6,3,1,1,7,2,1
12,13,6,1,3,1,7,1,2
13,14,6,4,0,1,7,3,0
14,15,6,0,4,1,7,0,3
15,16,5,5,0,1,6,2,2
16,17,5,0,5,1,6,3,1
17,18,5,4,1,1,6,1,3
18,19,5,1,4,1,6,4,0
19,20,5,3,2,1,6,0,4
20,21,5,2,3,1,5,5,0
21,22,4,6,0,1,5,0,5
22,23,4,0,6,1,5,4,1
23,24,4,5,1,1,5,1,4
24,25,4,1,5,1,5,3,2
25,26,4,4,2,1,5,2,3
26,27,4,2,4,1,4,6,0
27,28,4,3,3,1,4,0,6
28,29,3,7,0,1,4,5,1
29,30,3,0,7,1,4,1,5
30,31,3,6,1,1,4,4,2
31,32,3,1,6,1,4,2,4
32,33,3,5,2,1,4,3,3
33,34,3,2,5,1,3,7,0
34,35,3,4,3,1,3,0,7
35,36,3,3,4,1,3,6,1
36,37,2,8,0,1,3,1,6
37,38,2,0,8,1,3,5,2
38,39,2,7,1,1,3,2,5
39,40,2,1,7,1,3,4,3
40,41,2,6,2,1,3,3,4
41,42,2,2,6,1,2,8,0
42,43,2,5,3,1,2,0,8
43,44,2,3,5,1,2,7,1
44,45,2,4,4,1,2,1,7
45,46,1,9,0,1,2,6,2
46,47,1,0,9,1,2,2,6
47,48,1,8,1,1,2,5,3
48,49,1,1,8,1,2,3,5
49,50,1,7,2,1,2,4,4
50,51,1,2,7,1,1,9,0
51,52,1,6,3,1,1,0,9
52,53,1,3,6,1,1,8,1
53,54,1,5,4,1,1,1,8
54,55,1,4,5,1,1,7,2
55,56,1,4,5,1,1,2,7
56,57,1,4,5,1,1,6,3
57,58,1,4,5,1,1,3,6
58,59,1,4,5,1,1,5,4
59,60,1,4,5,1,1,4,5
